ИНДЕКС;УН;№ ВЕРХ;№ НИЗ;Поставщик;Категория ВЕРХ;Группа;Наименование ВЕРХ;Наименование НИЗ;Доп. описание;Аналог / гост / чертеж / альт. договор;PB/PG-номер НИЗ;KKS-код НИЗ;Ед. изм.;Кол-во НИЗ;СКЛАД;ДЕФИЦИТ;АКЗЧ;ДЕФ с уч. АКЗЧ;Цена ВЕРХ;ИТОГО ВЕРХ;Цена НИЗ;Итого НИЗ;НАЛИЧИЕ НА СКЛАДЕ;Статус;ПРИОРИТЕТ ЗАКУПКИ;Дата доставки;Упаковочный;Столбец2;Ящик;Вес;Длина;Ширина;Высота
70;1;R3;1820.1.014;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка колпачковая;;;PB0000000036;MBA__HA081G010;шт.;2;2;0;2;; € 420,85 ; € 841,71 ; € 263,00 ; € 526,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
71;1;R3;1820.1.015;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006964;MBA__HA081G011;шт.;2;2;0;2;; € 108,81 ; € 217,63 ; € 68,00 ; € 136,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
72;1;R3;1820.1.016;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический;;;PB0000000984;MBA__HA081G018;шт.;2;2;0;1;; € 84,81 ; € 169,62 ; € 53,00 ; € 106,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
73;1;R3;1820.1.017;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000000595;MBA__HA081G024;шт.;2;2;0;5;; € 32,00 ; € 64,01 ; € 20,00 ; € 40,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
74;1;R3;1820.1.018;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000006052;MBA__HA081G025;шт.;2;2;0;;; € 400,05 ; € 800,10 ; € 250,00 ; € 500,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
75;1;R3;1820.1.019;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000000010;MBA__HA081G901;шт.;4;4;0;1;; € 41,61 ; € 166,42 ; € 26,00 ; € 104,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
76;1;R3;1820.1.020;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Пробка резьбовая;;;PB0000000430;MBA__HA081G902;шт.;3;3;0;3;; € 22,40 ; € 67,21 ; € 14,00 ; € 42,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
77;1;R3;1820.1.021;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000000156;MBA__HA081G905;шт.;88;88;0;6;; € 1,60 ; € 140,82 ; € 1,00 ; € 88,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
78;1;R3;1820.1.022;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006962;MBA__HA081G007;шт.;4;4;0;5;; € 84,81 ; € 339,24 ; € 53,00 ; € 212,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
79;1;R3;1820.1.023;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический;;;PB0000000337;MBA__HA081G019;шт.;4;4;0;1;; € 152,02 ; € 608,08 ; € 95,00 ; € 380,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
80;1;R3;1820.1.024;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000000011;MBA__HA081G904;шт.;86;86;0;16;; € 4,80 ; € 412,85 ; € 3,00 ; € 258,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
81;1;R3;1820.1.025;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Гайка шестигранная;;;PB0000000035;MBA__HA081G006;шт.;5;5;0;5;; € 105,61 ; € 528,07 ; € 66,00 ; € 330,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
82;1;R3;1820.1.026;ЗТСР (Х/1820/2021);Малые детали;для среднего корпуса;Малые детали;Пробка резьбовая;;;PB0000000429;MBA__HA081G903;шт.;12;10;2;2;0; € 30,40 ; € 364,85 ; € 19,00 ; € 228,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
83;1;R3;1820.1.027;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо уплотнительное;;;PB0000000161;MBA__HA081G906;шт.;25;25;0;25;; € 6,40 ; € 160,02 ; € 4,00 ; € 100,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
84;1;R3;1820.1.028;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Вставка резьбовая M30х37,5;;;PB0000001055;-;шт.;16;16;0;9;; € 12,80 ; € 204,83 ; € 8,00 ; € 128,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
85;1;R3;1820.1.029;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Вставка резьбовая M16x20;;;PB0000001054;-;шт.;13;13;0;8;; € 3,20 ; € 41,61 ; € 2,00 ; € 26,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
86;1;R3;1820.1.030;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический;;;PB0000000448;MBA__HA070G018;шт.;2;2;0;2;; € 84,81 ; € 169,62 ; € 53,00 ; € 106,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
87;1;R3;1820.1.031;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шпилька;;;PB0000002671;MBA__HA070G006;шт.;3;3;0;2;; € 168,02 ; € 504,06 ; € 105,00 ; € 315,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
88;1;R3;1820.1.032;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт калиброванный;;;PB0000005998;MBA__HA070G004;шт.;4;4;0;4;; € 126,42 ; € 505,67 ; € 79,00 ; € 316,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
89;1;R3;1820.1.033;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт конический;;;PB0000000038;MBA__HA070G007;шт.;6;6;0;9;; € 73,61 ; € 441,66 ; € 46,00 ; € 276,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
90;1;R3;1820.1.034;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000000956;MBA__HA070G008;шт.;4;4;0;8;; € 73,61 ; € 294,44 ; € 46,00 ; € 184,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
91;1;R3;1820.1.035;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Болт;;;PB0000000957;MBA__HA070G009;шт.;4;4;0;4;; € 148,82 ; € 595,28 ; € 93,00 ; € 372,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
92;1;R3;1820.1.036;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Шайба;;;PB0000006761;MBA__HA070G014;шт.;37;37;0;3;; € 32,00 ; € 1 184,15 ; € 20,00 ; € 740,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
93;1;R3;1820.1.037;ЗТСР (Х/1820/2021);Малые детали;выходной корпус, вертикальный разъём;Малые детали;Болт калиброванный;;;PB0000000547;MBA__HA070G010;шт.;10;5;5;5;0; € 168,02 ; € 1 680,22 ; € 105,00 ; € 1 050,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
94;1;R3;1820.1.038;ЗТСР (Х/1820/2021);Малые детали;выходной корпус, вертикальный и горизонтальный разъёмы;Малые детали;Гайка шестигранная;;ТФРС.38200092-03;PB0000000007;MBA__HA070G005;шт.;25;15;10;15;-5; € 49,61 ; € 1 240,16 ; € 31,00 ; € 775,00 ; Отсутствует ; Ожидается ;500;;;;;;;;
95;1;R3;1820.1.039;ЗТСР (Х/1820/2021);Малые детали;для ремонта ротора;Малые детали;Конус демпфирующий;;;PG0032796200;MBA__HB001G004;шт.;1;;1;;1; € 4 192,54 ; € 4 192,54 ; € 2 620,00 ; € 2 620,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
96;1;R3;1820.1.040;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Штифт стопорный;;;PB0000013054;MBA__HB001G029;шт.;1;1;0;;; € 64,01 ; € 64,01 ; € 40,00 ; € 40,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
97;1;R3;1820.1.041;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Кольцо круглого сечения;;Х/2123/2022;PB0000000550;MBA__HB001G036;шт.;1;;1;;1; € 11,20 ; € 11,20 ; € 7,00 ; € 7,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
98;1;R3;1820.1.042;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 1-й ступени;Малые детали;Штифт;;;PB0000000047;MBA__HB041G004;шт.;2;;2;2;0; € 28,80 ; € 57,61 ; € 18,00 ; € 36,00 ; Отсутствует ; Ожидается ;900;;;;;;;;
99;1;R3;1820.1.043;ЗТСР (Х/1820/2021);Малые детали;;Малые детали;Палец с квадратным концом;;;PB0000001886;MBA__HB041G011;шт.;4;4;0;4;; € 12,80 ; € 51,21 ; € 8,00 ; € 32,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
100;1;R3;1820.1.044;ЗТСР (Х/1820/2021);Малые детали;Крепеж рабочих лопаток 3-й ступени;Малые детали;Штифт;;;PB0000006136;MBA__HB043G004;шт.;1;1;0;2;; € 24,00 ; € 24,00 ; € 15,00 ; € 15,00 ; В наличии ; Ожидается ;0;19.07.2022;;;;;;;
101;1;R3;1820.1.045;ЗТСР (Х/1820/2021);Малые детали;для ремонта ротора;Малые детали;Конус демпфирующий;;;PG0032691400;MBA__HB001G126;шт.;1;;1;;1; € 4 192,54 ; € 4 192,54 ; € 2 620,00 ; € 2 620,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
102;1;R3;1820.1.046;ЗТСР (Х/1820/2021);Малые детали;для ремонта ротора;Малые детали;Конус демпфирующий;;;PG0032796300;MBA__HB001G005;шт.;2;;2;;2; € 4 189,34 ; € 8 378,68 ; € 2 618,00 ; € 5 236,00 ; Отсутствует ; Ожидается ;100;;;;;;;;
